"Species","Migratory status","Body mass (grams)","Nest height","Use of urban/suburban habitats","Nocturnal gregariousness","Exposure of nestlings","Breeding sociality","mass_scaled"
"Delichon urbica","Yes",18,">4 meters","Yes","Yes","Altricial","Yes",-0.2954154503072
"Riparia riparia","Yes",12,"Intermediate","No","Yes","Precocial","Yes",-0.835809566722808
"Hirundo rustica","Yes",18,"Intermediate","Yes","Yes","Precocial","Yes",-0.2954154503072
"Hirundo daurica","Yes",22,"Intermediate","No","No","Precocial","No",0.0648472939698729
"Hirundo rupestris","Yes",24,">4 meters","Yes","Yes","Precocial","No",0.244978666108409
"Anthus campestris","Yes",27,"Ground","No","Yes","Precocial","No",0.515175724316214
"Anthus trivialis","Yes",22,"Ground","No","Yes","Precocial","No",0.0648472939698729
"Anthus pratensis","Yes",18,"Ground","No","Yes","Precocial","No",-0.2954154503072
"Anthus cervinus","Yes",21,"Ground","No","Yes","Precocial","No",-0.0252183920993952
"Anthus spinoletta","Yes",22,"Ground","No","Yes","Precocial","No",0.0648472939698729
"Anthus petrosus","No",24,"Ground","Yes","Yes","Precocial","No",0.244978666108409
"Motacilla flava","Yes",17,"Ground","No","Yes","Precocial","No",-0.385481136376468
"Motacilla cinerea","Yes",18,"Intermediate","Yes","No","Precocial","No",-0.2954154503072
"Motacilla alba","Yes",20,"Intermediate","Yes","Yes","Precocial","No",-0.115284078168663
"Troglodytes troglodytes","No",9,"Intermediate","Yes","No","Altricial","No",-1.10600662493061
"Prunella modularis","No",20,"Intermediate","Yes","No","Precocial","No",-0.115284078168663
"Prunella collaris","No",38,"Intermediate","No","Yes","Precocial","No",1.50589827107816
"Cercotrichas galactotes","Yes",23,"Intermediate","No","No","Altricial","No",0.154912980039141
"Erithacus rubecula","Yes",18,"Intermediate","Yes","No","Precocial","No",-0.2954154503072
"Luscinia luscinia","Yes",24,"Ground","Yes","No","Precocial","No",0.244978666108409
"Luscinia megarhynchos","Yes",24,"Ground","Yes","No","Precocial","No",0.244978666108409
"Luscinia svecica","Yes",17,"Ground","No","No","Precocial","No",-0.385481136376468
"Phoenicurus phoenicurus","Yes",14,"Intermediate","Yes","No","Precocial","No",-0.655678194584272
"Phoenicurus ochruros","Yes",17,"Intermediate","Yes","No","Precocial","No",-0.385481136376468
"Saxicola rubetra","Yes",17,"Ground","No","Yes","Precocial","No",-0.385481136376468
"Saxicola torquata","Yes",15,"Intermediate","No","No","Precocial","No",-0.565612508515004
"Oenanthe oenanthe","Yes",24,"Ground","No","Yes","Precocial","No",0.244978666108409
"Oenanthe hispanica","Yes",17,"Ground","No","No","Precocial","No",-0.385481136376468
"Oenanthe leucura","No",40,"Intermediate","No","No","Precocial","No",1.6860296432167
"Monticola saxatilis","Yes",50,">4 meters","No","No","Precocial","No",2.58668650390938
"Cettia cetti","No",13,"Intermediate","No","No","Precocial","No",-0.74574388065354
"Cisticola juncidis","No",9,"Intermediate","No","No","Altricial","No",-1.10600662493061
"Locustella naevia","Yes",13,"Ground","No","No","Precocial","No",-0.74574388065354
"Locustella luscinioides","Yes",14,"Ground","No","No","Precocial","No",-0.655678194584272
"Locustella fluviatilis","Yes",18,"Ground","No","No","Altricial","No",-0.2954154503072
"Acrocephalus schoenobaenus","Yes",12,"Ground","No","Yes","Altricial","No",-0.835809566722808
"Acrocephalus dumetorum","Yes",12,"Intermediate","No","No","Altricial","No",-0.835809566722808
"Acrocephalus melanopogon","No",10,"Intermediate","No","No","Altricial","No",-1.01594093886134
